Distance,AverageDensity_Near,AverageDensity_Mid,AverageDensity_Far,AverageD2surface,PBPotential
2.709,11.0,34.0,329.5,3.693,6.329
4.635,12.0,36.0,360.0,3.161,1.462
8.361,12.5,58.0,434.5,5.990,0.663
10.972,12.0,54.5,428.5,4.536,0.243
17.069,11.0,60.5,487.0,5.929,0.062
16.011,10.5,40.0,398.5,3.651,0.056
19.171,12.5,56.0,448.0,5.198,0.036
23.611,12.0,42.5,382.5,3.860,0.011
28.520,13.5,34.5,319.5,3.292,0.003
23.199,9.5,34.0,371.5,2.128,0.013
29.088,10.0,38.5,292.0,2.967,0.003
16.791,11.5,41.0,381.5,2.673,0.049
14.756,12.5,44.5,432.5,3.168,0.071
9.924,12.5,43.0,396.0,3.188,0.233
8.777,12.0,59.0,440.5,5.894,0.567
7.244,12.5,28.0,336.0,3.397,0.390
7.051,10.0,63.5,370.5,5.396,1.039
8.555,10.5,26.5,289.0,2.128,0.239
9.156,11.5,38.5,322.5,3.300,0.244
10.012,10.0,46.5,392.0,4.814,0.224
13.959,9.5,34.0,340.5,2.128,0.051
11.588,10.5,39.5,341.5,4.419,0.115
8.099,11.5,64.5,413.0,6.303,0.788
14.054,13.0,53.5,439.5,4.485,0.093
15.860,11.0,38.5,360.5,2.673,0.036
11.838,10.0,43.0,388.0,5.511,0.109
14.263,12.0,63.0,495.5,6.638,0.122
19.566,12.0,43.5,415.5,4.698,0.017
18.596,8.0,26.5,333.5,2.128,0.024
18.313,10.5,33.0,421.5,2.673,0.033
20.536,12.5,60.5,439.5,4.924,0.020
24.266,8.5,28.0,353.0,2.128,0.006
22.037,10.5,44.0,343.5,3.018,0.015
20.992,10.0,51.0,404.5,3.739,0.021
23.649,13.0,54.5,396.0,4.854,0.011
28.011,11.0,30.5,346.0,3.348,0.003
27.837,8.0,21.0,278.5,2.128,0.004
15.703,10.0,65.5,499.0,7.436,0.085
18.953,9.0,37.5,390.0,5.652,0.020
9.869,10.0,63.5,414.5,5.490,0.360
15.210,9.5,39.0,325.5,2.742,0.051
12.078,11.0,40.0,329.5,2.673,0.108
14.764,9.5,30.5,265.5,2.128,0.059
13.871,11.0,32.0,305.5,2.673,0.090
7.045,13.0,45.5,361.5,4.655,0.662
